GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,GEO_ID,NAME,GEOCODE,TL_GEO_ID,REGIONA,DIVISIONA,CBSAA,MEMI,CSAA,METDIVA,PUMA,AREALAND,AREAWATR,BASENAME,INTPTLAT,INTPTLON,TotalPopulation,TotalUrbanPopulation,TotalRuralPopulation,TotalPop_NotDefined,TotalPopinHH,TotalPopinHH_Under18,TotalPopinHH_Over18,MedianAgebySex_Total,MedianAgebySex_Male,MedianAgebySex_Female,Race_TotalPop,Race_White,Race_Black,Race_AmericanIndian_AlaskaNative,Race_Asian,Race_NativeHawaiian_PacificIslander,Race_SomeOther,Race_Mixed,EduAttainment_Total25yrs+,EduAttainment_NoSchooling,EduAttainment_HighSchoolDiploma,EduAttainment_Bachelors ,EduAttainment_Masters,Pop_BPL_Total,Pop_BPL_under.50,Pop_BPL_under.99,MedianHHIncome_12mon,HH_PublicAssistance_SNAP_12mon,GiniIndex,TotalCivilianPop,OneOrMoreHealthInsurance,NoHealthInsurance,PCY_12mon,EmpStatus_TotalPop16plus,EmpStatus_LF,EmpStatus_Unemplyed_Civilian,TotalHousingUnits,TotalUrbanPop_prc,NoHealthInsurance_prc,Employed_prc,BPL_prc
G4801130018140,2018-2022,TX,Texas,48,Dallas County,113,018140,1400000US48113018140,"Census Tract 181.40, Dallas County, Texas",48113018140,48113018140,3,7,19100,1,206,19124,02301,5945639,483372,181.4,32.9188721,-96.5648339,5572,5572,0,0,5569,1231,4338,39.7,36.9,41.4,6192,2820,1844,8,637,0,126,757,4335,77,894,1223,308,6192,9,192,107813,143,0.3863,6192,1168,5024,38876,4857,3269,145,2028,100,81.1369509,67.30492073,3.246124031
G4801130018141,2018-2022,TX,Texas,48,Dallas County,113,018141,1400000US48113018141,"Census Tract 181.41, Dallas County, Texas",48113018141,48113018141,3,7,19100,1,206,19124,02303,1916335,4438452,181.41,32.8720402,-96.5276514,4245,4245,0,0,4245,982,3263,31.5,25.9,39.7,3072,1238,1065,5,0,0,215,549,2083,21,466,222,68,3072,158,414,42414,225,0.3264,3072,248,2824,26075,2556,1853,24,2028,100,91.92708333,72.49608764,18.61979167
G4801130018142,2018-2022,TX,Texas,48,Dallas County,113,018142,1400000US48113018142,"Census Tract 181.42, Dallas County, Texas",48113018142,48113018142,3,7,19100,1,206,19124,02303,4085086,4938473,181.42,32.8395685,-96.544888,3916,3916,0,0,3907,909,2998,35.8,34.1,37.3,4289,2032,807,12,572,0,223,643,2826,45,681,368,201,4289,29,46,101125,35,0.3161,4289,636,3653,33833,3272,2459,88,1287,100,85.17136862,75.15281174,1.748659361
G4801130018143,2018-2022,TX,Texas,48,Dallas County,113,018143,1400000US48113018143,"Census Tract 181.43, Dallas County, Texas",48113018143,48113018143,3,7,19100,1,206,19124,02301,14300636,66683,181.43,32.95171,-96.5389509,6836,6545,291,0,6836,1756,5080,42.3,30.4,45.1,6465,3557,1454,45,584,0,26,799,4578,0,916,1883,483,6465,232,456,136333,251,0.4276,6465,1087,5378,48024,5427,4000,99,2502,95.74312463,83.18638824,73.70554634,10.64191802
G4801130018144,2018-2022,TX,Texas,48,Dallas County,113,018144,1400000US48113018144,"Census Tract 181.44, Dallas County, Texas",48113018144,48113018144,3,7,19100,1,206,19124,02301,2944495,52850,181.44,32.9415141,-96.5257885,4458,4450,8,0,4458,1220,3238,31.4,21.5,34.3,4279,2686,1135,0,331,0,33,94,2399,45,454,702,311,4279,197,0,145391,5,0.3508,4264,1572,2692,41764,3005,2200,0,1202,99.82054733,63.13320826,73.21131448,4.603879411
G4801130018145,2018-2022,TX,Texas,48,Dallas County,113,018145,1400000US48113018145,"Census Tract 181.45, Dallas County, Texas",48113018145,48113018145,3,7,19100,1,206,19124,02301,3683100,2554924,181.45,32.8809852,-96.5569973,4089,4089,0,0,4089,783,3306,44.7,41.6,46.7,5195,3738,442,0,232,0,38,745,3860,16,1142,852,423,5195,92,162,114033,55,0.3947,5195,1158,4037,47728,4388,3062,42,1742,100,77.7093359,69.78122151,4.889316651
G4801130018146,2018-2022,TX,Texas,48,Dallas County,113,018146,1400000US48113018146,"Census Tract 181.46, Dallas County, Texas",48113018146,48113018146,3,7,19100,1,206,19124,02301,2471492,1085956,181.46,32.8842684,-96.5795604,3564,3564,0,0,3564,645,2919,49.6,51.2,49.4,3297,2213,846,0,94,0,37,107,2584,11,471,680,368,3297,12,0,171667,51,0.2937,3297,1063,2234,58783,2752,1968,20,1182,100,67.7585684,71.51162791,0.363967243
G4801130018147,2018-2022,TX,Texas,48,Dallas County,113,018147,1400000US48113018147,"Census Tract 181.47, Dallas County, Texas",48113018147,48113018147,3,7,19100,1,206,19124,02302,2821179,1466092,181.47,32.8678415,-96.5856559,3737,3737,0,0,3729,791,2938,37.8,54.8,32.1,5052,2472,747,57,463,0,377,936,3230,38,374,371,261,5052,400,57,119167,55,0.3424,5052,2099,2953,33862,3977,2493,105,1522,100,58.45209818,62.68544129,9.045922407
G4801130018148,2018-2022,TX,Texas,48,Dallas County,113,018148,1400000US48113018148,"Census Tract 181.48, Dallas County, Texas",48113018148,48113018148,3,7,19100,1,206,19124,02302,2309042,8474,181.48,32.8580761,-96.5981257,5372,5372,0,0,5372,1618,3754,28.8,26.7,30.9,5085,1613,1598,0,856,0,219,799,2878,88,738,436,159,5059,602,328,62377,213,0.4141,5085,1031,4054,25258,3682,2632,183,1552,100,79.72468043,71.48288973,18.38307966
G4801130018149,2018-2022,TX,Texas,48,Dallas County,113,018149,1400000US48113018149,"Census Tract 181.49, Dallas County, Texas",48113018149,48113018149,3,7,19100,1,206,19124,02301,1792342,0,181.49,32.9195356,-96.526311,3970,3970,0,0,3962,1058,2904,42.2,40.8,42.8,3329,1541,855,0,236,0,196,501,2233,29,454,532,179,3329,114,82,153306,184,0.3435,3329,408,2921,51599,2595,1984,123,1197,100,87.74406729,76.45472062,5.88765395
G4801130018150,2018-2022,TX,Texas,48,Dallas County,113,018150,1400000US48113018150,"Census Tract 181.50, Dallas County, Texas",48113018150,48113018150,3,7,19100,1,206,19124,02301,3493771,473536,181.5,32.9250563,-96.5392161,4248,4233,15,0,4214,1140,3074,32.1,36.6,31.5,3921,2274,1200,0,209,0,191,47,3053,0,123,719,546,3921,232,218,79167,113,0.3457,3921,1293,2628,36595,3341,2216,61,1452,99.64689266,67.02371844,66.32744687,11.47666412
G4801130018151,2018-2022,TX,Texas,48,Dallas County,113,018151,1400000US48113018151,"Census Tract 181.51, Dallas County, Texas",48113018151,48113018151,3,7,19100,1,206,19124,02301,4884340,0,181.51,32.9539771,-96.601841,3960,3960,0,0,3942,892,3050,38.6,38.5,39,3610,1409,1054,8,608,0,462,69,2531,85,465,512,246,3569,113,78,99330,63,0.3204,3610,910,2700,39168,3025,1921,166,1193,100,74.79224377,63.50413223,5.351639115
G4801130018152,2018-2022,TX,Texas,48,Dallas County,113,018152,1400000US48113018152,"Census Tract 181.52, Dallas County, Texas",48113018152,48113018152,3,7,19100,1,206,19124,02301,3614816,0,181.52,32.9422631,-96.6148515,6203,6203,0,0,6116,1300,4816,37.2,31.2,42,5477,2801,709,38,1154,0,236,539,3661,71,939,649,290,5364,164,495,78046,129,0.2976,5373,595,4778,32101,4591,3370,110,2184,100,88.92611204,73.40448704,12.28560776
G4801130018153,2018-2022,TX,Texas,48,Dallas County,113,018153,1400000US48113018153,"Census Tract 181.53, Dallas County, Texas",48113018153,48113018153,3,7,19100,1,206,19124,02301,3262686,0,181.53,32.9643362,-96.5911458,6044,6044,0,0,6044,1633,4411,40.3,36.9,43.9,7511,3278,1007,0,2680,0,73,473,4839,74,1214,600,863,7511,75,33,115400,39,0.3942,7511,1386,6125,47672,6074,4087,0,2386,100,81.54706431,67.28679618,1.437891093
G4801130018154,2018-2022,TX,Texas,48,Dallas County,113,018154,1400000US48113018154,"Census Tract 181.54, Dallas County, Texas",48113018154,48113018154,3,7,19100,1,206,19124,02301,3707299,0,181.54,32.9785968,-96.573781,5595,5595,0,0,5595,1451,4144,40.3,46,37.5,4830,3893,148,56,292,0,192,249,3600,32,756,739,345,4830,157,26,104817,43,0.3307,4830,629,4201,52131,4067,3273,185,1914,100,86.97722567,80.47701008,3.788819876
G4801130018155,2018-2022,TX,Texas,48,Dallas County,113,018155,1400000US48113018155,"Census Tract 181.55, Dallas County, Texas",48113018155,48113018155,3,7,19100,1,206,19124,02301,12569116,200790,181.55,32.9692909,-96.551425,5526,4983,543,0,5526,1576,3950,41.6,42.6,35.9,5513,2600,613,218,1013,0,346,723,3633,71,341,816,376,5513,115,0,139245,98,0.3474,5513,1369,4144,49369,4239,2973,148,1743,90.17372421,75.16778524,70.13446568,2.085978596
G4801130018156,2018-2022,TX,Texas,48,Dallas County,113,018156,1400000US48113018156,"Census Tract 181.56, Dallas County, Texas",48113018156,48113018156,3,7,19100,1,206,19124,02301,2758051,82618,181.56,32.9139685,-96.5833302,4744,4744,0,0,4744,1222,3522,40.1,38.6,41.2,5481,2147,1607,0,726,0,152,849,3589,12,940,958,257,5481,106,125,110559,158,0.2544,5481,1116,4365,38404,4225,3378,225,1909,100,79.63875205,79.95266272,4.214559387
G4801130018157,2018-2022,TX,Texas,48,Dallas County,113,018157,1400000US48113018157,"Census Tract 181.57, Dallas County, Texas",48113018157,48113018157,3,7,19100,1,206,19124,02301,4267514,445,181.57,32.9299301,-96.5808858,3583,3583,0,0,3583,895,2688,31.2,27.5,39.6,4197,1571,1589,0,616,0,68,353,2463,0,314,480,173,4197,218,85,85625,291,0.3348,4197,518,3679,31347,2829,1766,68,1248,100,87.65785085,62.42488512,7.219442459
G4801130018158,2018-2022,TX,Texas,48,Dallas County,113,018158,1400000US48113018158,"Census Tract 181.58, Dallas County, Texas",48113018158,48113018158,3,7,19100,1,206,19124,02303,21339650,105457,181.58,32.7721875,-96.5303216,4186,3672,514,0,4186,1100,3086,32.1,31.6,32.6,4385,1963,1468,0,144,0,638,172,2719,0,688,552,135,4385,114,355,95972,189,0.4302,4385,797,3588,43449,3218,2599,361,1642,87.72097468,81.82440137,80.76444997,10.69555302
G4801130018159,2018-2022,TX,Texas,48,Dallas County,113,018159,1400000US48113018159,"Census Tract 181.59, Dallas County, Texas",48113018159,48113018159,3,7,19100,1,206,19124,02303,25125010,5877846,181.59,32.811384,-96.5557414,5199,4056,1143,0,5199,1463,3736,43.3,41.4,44.1,5322,3376,345,11,1114,0,15,461,3436,45,327,1245,798,5322,52,156,175444,22,0.328,5322,1078,4244,63078,3935,2643,38,1747,78.01500289,79.74445697,67.16645489,3.908305148
G4801130018203,2018-2022,TX,Texas,48,Dallas County,113,018203,1400000US48113018203,"Census Tract 182.03, Dallas County, Texas",48113018203,48113018203,3,7,19100,1,206,19124,02301,4566368,0,182.03,32.9021995,-96.6062954,6636,6636,0,0,6636,1821,4815,32.4,28.6,35,6263,2498,1024,81,699,0,515,1446,3769,131,780,638,229,6263,440,314,71190,81,0.3561,6263,1054,5209,25693,4681,3200,113,1819,100,83.17100431,68.36146123,12.03895897
G4801130018204,2018-2022,TX,Texas,48,Dallas County,113,018204,1400000US48113018204,"Census Tract 182.04, Dallas County, Texas",48113018204,48113018204,3,7,19100,1,206,19124,02301,1757605,0,182.04,32.901842,-96.6257093,4504,4504,0,0,4504,1344,3160,28.2,26.4,29.3,4818,1716,432,0,3,0,476,2191,2568,93,797,56,15,4770,747,825,57061,225,0.4139,4818,817,4001,16734,3135,2119,258,1333,100,83.04275633,67.59170654,32.95597484
G4801130018205,2018-2022,TX,Texas,48,Dallas County,113,018205,1400000US48113018205,"Census Tract 182.05, Dallas County, Texas",48113018205,48113018205,3,7,19100,1,206,19124,02302,1623865,4329,182.05,32.8887332,-96.6158652,4355,4355,0,0,4355,1248,3107,28.4,37,24.9,4169,1437,253,31,653,0,546,1249,2234,184,507,213,67,4169,235,647,58273,201,0.3803,4169,655,3514,21259,2938,2095,120,1392,100,84.28879827,71.30701157,21.15615256
G4801130018206,2018-2022,TX,Texas,48,Dallas County,113,018206,1400000US48113018206,"Census Tract 182.06, Dallas County, Texas",48113018206,48113018206,3,7,19100,1,206,19124,02302,1770923,0,182.06,32.8844225,-96.626841,4700,4700,0,0,4700,1460,3240,28,29.2,24.8,4081,1566,368,170,0,0,504,1473,2163,126,504,131,7,4081,466,423,53942,231,0.4175,4081,614,3467,19602,3030,1747,73,1233,100,84.95466797,57.65676568,21.7838765
G4801130018300,2018-2022,TX,Texas,48,Dallas County,113,018300,1400000US48113018300,"Census Tract 183, Dallas County, Texas",48113018300,48113018300,3,7,19100,1,206,19124,02302,3834449,0,183,32.8860362,-96.6430438,7632,7632,0,0,7632,2237,5395,30.8,30.4,36.4,7079,3691,120,0,56,0,1868,1344,4424,321,1096,158,82,7079,237,862,71215,331,0.4316,7079,1193,5886,27659,5551,3843,152,2281,100,83.1473372,69.23076923,15.52479164
G4801130018401,2018-2022,TX,Texas,48,Dallas County,113,018401,1400000US48113018401,"Census Tract 184.01, Dallas County, Texas",48113018401,48113018401,3,7,19100,1,206,19124,02302,2477790,0,184.01,32.8711295,-96.6564407,5222,5222,0,0,5222,1525,3697,33.1,32,34.6,4364,2203,471,7,0,0,628,1055,2929,56,685,525,95,4351,113,194,66009,218,0.4557,4364,548,3816,35366,3521,2305,21,1746,100,87.44271311,65.46435672,7.05584923
G4801130018402,2018-2022,TX,Texas,48,Dallas County,113,018402,1400000US48113018402,"Census Tract 184.02, Dallas County, Texas",48113018402,48113018402,3,7,19100,1,206,19124,02302,2466925,0,184.02,32.8717459,-96.6404343,4417,4417,0,0,4299,1036,3263,35.1,34.7,38.2,4313,2586,135,44,48,0,562,938,2806,43,582,623,108,4227,64,1013,79653,127,0.4303,4227,440,3787,34064,3263,2064,112,1455,100,89.59072628,63.25467361,25.47906317
G4801130018403,2018-2022,TX,Texas,48,Dallas County,113,018403,1400000US48113018403,"Census Tract 184.03, Dallas County, Texas",48113018403,48113018403,3,7,19100,1,206,19124,02302,836038,0,184.03,32.8611265,-96.6507495,1047,1047,0,0,1033,262,771,27.7,28.3,27.6,1581,543,392,0,0,0,329,317,908,28,310,51,23,1581,29,67,46415,88,0.3105,1581,119,1462,21881,1153,926,20,598,100,92.47311828,80.31222897,6.072106262
G4801130018501,2018-2022,TX,Texas,48,Dallas County,113,018501,1400000US48113018501,"Census Tract 185.01, Dallas County, Texas",48113018501,48113018501,3,7,19100,1,206,19124,02302,8899886,0,185.01,32.8892168,-96.671102,3985,3985,0,0,3965,1083,2882,24.8,21.8,34.8,4830,2611,115,47,0,0,321,1736,2390,69,672,136,70,4824,123,355,74663,248,0.4278,4824,1074,3750,26205,3265,2498,73,1347,100,77.73631841,76.50842267,9.908789386
G4801130018505,2018-2022,TX,Texas,48,Dallas County,113,018505,1400000US48113018505,"Census Tract 185.05, Dallas County, Texas",48113018505,48113018505,3,7,19100,1,206,19124,02307,477214,0,185.05,32.9067087,-96.713857,3876,3876,0,0,3876,1108,2768,28,27.9,28.1,3776,364,2317,22,302,0,213,558,2172,14,634,95,64,3776,384,236,35160,319,0.347,3776,569,3207,20456,2979,2223,182,1989,100,84.93114407,74.6223565,16.41949153
G4801130018506,2018-2022,TX,Texas,48,Dallas County,113,018506,1400000US48113018506,"Census Tract 185.06, Dallas County, Texas",48113018506,48113018506,3,7,19100,1,206,19124,02302,7637375,2357,185.06,32.8978057,-96.6970701,2771,2771,0,0,2770,665,2105,31.6,31.7,30,3300,263,2748,0,71,0,200,18,2221,100,596,454,236,3297,391,335,37903,249,0.3904,3300,396,2904,21176,2720,1968,97,1818,100,88,72.35294118,22.0200182
