GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,GEO_ID,NAME,GEOCODE,TL_GEO_ID,REGIONA,DIVISIONA,CBSAA,MEMI,CSAA,METDIVA,PUMA,AREALAND,AREAWATR,BASENAME,INTPTLAT,INTPTLON,TotalPopulation,TotalUrbanPopulation,TotalRuralPopulation,TotalPop_NotDefined,TotalPopinHH,TotalPopinHH_Under18,TotalPopinHH_Over18,MedianAgebySex_Total,MedianAgebySex_Male,MedianAgebySex_Female,Race_TotalPop,Race_White,Race_Black,Race_AmericanIndian_AlaskaNative,Race_Asian,Race_NativeHawaiian_PacificIslander,Race_SomeOther,Race_Mixed,EduAttainment_Total25yrs+,EduAttainment_NoSchooling,EduAttainment_HighSchoolDiploma,EduAttainment_Bachelors ,EduAttainment_Masters,Pop_BPL_Total,Pop_BPL_under.50,Pop_BPL_under.99,MedianHHIncome_12mon,HH_PublicAssistance_SNAP_12mon,GiniIndex,TotalCivilianPop,OneOrMoreHealthInsurance,NoHealthInsurance,PCY_12mon,EmpStatus_TotalPop16plus,EmpStatus_LF,EmpStatus_Unemplyed_Civilian,TotalHousingUnits,TotalUrbanPop_prc,NoHealthInsurance_prc,Employed_prc,BPL_prc
G4800850030101,2018-2022,TX,Texas,48,Collin County,085,030101,1400000US48085030101,"Census Tract 301.01, Collin County, Texas",48085030101,48085030101,3,7,19100,1,206,19124,01907,119235977,1249939,301.01,33.2679616,-96.4367903,3595,0,3595,0,3595,993,2602,39.7,40.1,39.2,2874,2428,2,5,3,0,231,205,1959,170,533,202,68,2874,126,120,96111,79,0.3529,2874,458,2416,35910,2208,1439,26,1013,0,84.06402227,65.17210145,8.559498956
G4800850030102,2018-2022,TX,Texas,48,Collin County,085,030102,1400000US48085030102,"Census Tract 301.02, Collin County, Texas",48085030102,48085030102,3,7,19100,1,206,19124,01907,200441944,2109723,301.02,33.3217146,-96.3785072,4282,0,4282,0,4282,1019,3263,41,43.9,40.4,3795,3643,0,0,13,0,51,88,2569,64,692,401,122,3795,318,157,95625,113,0.4246,3795,526,3269,40052,3062,1849,32,1472,0,86.13965744,60.38536904,12.51646904
G4800850030201,2018-2022,TX,Texas,48,Collin County,085,030201,1400000US48085030201,"Census Tract 302.01, Collin County, Texas",48085030201,48085030201,3,7,19100,1,206,19124,01907,91250954,1329423,302.01,33.2618762,-96.5350497,6175,2929,3246,0,6133,1649,4484,40.2,42.1,35.8,5985,4715,395,25,229,0,68,553,4000,0,735,1190,599,5962,131,131,134290,65,0.3714,5979,720,5259,48515,4616,3269,96,2215,47.43319838,87.95785248,70.81889082,4.39449849
G4800850030202,2018-2022,TX,Texas,48,Collin County,085,030202,1400000US48085030202,"Census Tract 302.02, Collin County, Texas",48085030202,48085030202,3,7,19100,1,206,19124,01907,151377249,2417266,302.02,33.3405713,-96.643292,6345,0,6345,0,6345,1613,4732,41.1,41.2,40.9,5687,4639,58,5,273,0,233,479,4125,11,488,1403,722,5687,154,56,129915,14,0.4469,5687,1008,4679,63872,4575,2943,110,2154,0,82.27536487,64.32786885,3.692632319
G4800850030204,2018-2022,TX,Texas,48,Collin County,085,030204,1400000US48085030204,"Census Tract 302.04, Collin County, Texas",48085030204,48085030204,3,7,19100,1,206,19124,01907,15792805,2872,302.04,33.3707197,-96.5746853,7554,6524,1030,0,7554,2461,5093,34.4,32.9,35.5,7785,5553,1420,24,85,0,185,518,5253,0,906,2086,675,7785,357,261,112761,263,0.337,7785,776,7009,38144,5876,4135,151,2929,86.36483982,90.03211304,70.37100068,7.938342967
G4800850030205,2018-2022,TX,Texas,48,Collin County,085,030205,1400000US48085030205,"Census Tract 302.05, Collin County, Texas",48085030205,48085030205,3,7,19100,1,206,19124,01907,9537470,301833,302.05,33.3311563,-96.5721906,4869,4626,243,0,4869,1511,3358,30.7,30.2,32.2,5625,4347,575,21,197,0,143,342,3399,25,879,787,293,5625,1002,24,83352,0,0.4836,5625,1447,4178,35962,4217,2738,21,1975,95.00924214,74.27555556,64.9276737,18.24
G4800850030206,2018-2022,TX,Texas,48,Collin County,085,030206,1400000US48085030206,"Census Tract 302.06, Collin County, Texas",48085030206,48085030206,3,7,19100,1,206,19124,01907,10998136,113281,302.06,33.2964198,-96.5796303,4565,4426,139,0,4565,1559,3006,36.7,38.3,33,5054,3564,550,0,384,0,121,435,3339,0,657,1413,395,5054,135,78,152800,59,0.249,5054,960,4094,50920,3789,2944,104,1636,96.9550931,81.00514444,77.69860121,4.214483577
G4800850030207,2018-2022,TX,Texas,48,Collin County,085,030207,1400000US48085030207,"Census Tract 302.07, Collin County, Texas",48085030207,48085030207,3,7,19100,1,206,19124,01907,61561407,434575,302.07,33.3555,-96.5163128,14195,12990,1205,0,14195,4633,9562,32.5,35.7,31.6,15551,10771,2601,108,472,0,335,1264,9319,29,1855,2948,498,15551,520,207,102447,130,0.3635,15551,2933,12618,38712,11303,8085,384,5083,91.51109546,81.13947656,71.52968239,4.674940518
G4800850030301,2018-2022,TX,Texas,48,Collin County,085,030301,1400000US48085030301,"Census Tract 303.01, Collin County, Texas",48085030301,48085030301,3,7,19100,1,206,19124,01908,23299176,384698,303.01,33.2412217,-96.7119342,9945,9125,820,0,9945,3127,6818,36,34.5,36.9,9893,6806,1014,156,1166,0,92,659,6080,38,732,2332,721,9886,72,336,142690,59,0.3818,9893,1419,8474,53422,6704,4503,98,3181,91.75465058,85.65652482,67.16885442,4.127048351
G4800850030302,2018-2022,TX,Texas,48,Collin County,085,030302,1400000US48085030302,"Census Tract 303.02, Collin County, Texas",48085030302,48085030302,3,7,19100,1,206,19124,01908,15288169,413592,303.02,33.2410157,-96.7553993,5812,5649,163,0,5812,1925,3887,40.8,42.6,38.9,5637,4470,370,45,299,0,22,431,3423,0,295,1294,698,5637,141,0,196354,71,0.4,5637,946,4691,76280,4123,2539,86,1777,97.19545767,83.21802377,61.58137279,2.501330495
G4800850030303,2018-2022,TX,Texas,48,Collin County,085,030303,1400000US48085030303,"Census Tract 303.03, Collin County, Texas",48085030303,48085030303,3,7,19100,1,206,19124,01908,9946832,70304,303.03,33.2376601,-96.7791075,10198,10198,0,0,10198,3511,6687,37.3,35.2,37.9,10558,7400,1045,0,1043,0,133,937,6577,38,656,2971,1177,10462,147,281,180242,111,0.341,10521,1256,9265,64360,7571,5354,302,3589,100,88.0619713,70.71721041,4.090995985
G4800850030304,2018-2022,TX,Texas,48,Collin County,085,030304,1400000US48085030304,"Census Tract 303.04, Collin County, Texas",48085030304,48085030304,3,7,19100,1,206,19124,01908,21987802,38723,303.04,33.2413324,-96.8123883,7973,7864,109,0,7973,2757,5216,34.6,26.5,36.5,8922,6850,324,24,749,27,137,811,4972,5,600,2057,771,8783,192,35,181045,20,0.3238,8903,965,7938,58919,6181,4367,262,2714,98.63288599,89.16095698,70.65199806,2.584538313
G4800850030306,2018-2022,TX,Texas,48,Collin County,085,030306,1400000US48085030306,"Census Tract 303.06, Collin County, Texas",48085030306,48085030306,3,7,19100,1,206,19124,01908,89606318,904304,303.06,33.3368843,-96.8056478,11608,7259,4349,0,11608,4126,7482,35,35,35,14106,9805,613,124,1319,0,280,1965,9204,21,1125,3350,1331,14106,60,1211,145927,192,0.4117,14074,2882,11192,53729,10504,7150,464,4602,62.53445899,79.5225238,68.06930693,9.010350206
G4800850030307,2018-2022,TX,Texas,48,Collin County,085,030307,1400000US48085030307,"Census Tract 303.07, Collin County, Texas",48085030307,48085030307,3,7,19100,1,206,19124,01908,127397594,1914021,303.07,33.3122569,-96.7225966,12663,7813,4850,0,12578,4027,8551,37.2,34.5,37.7,16971,12986,941,56,1085,61,356,1486,10681,47,1189,3971,1109,16858,54,25,162879,13,0.3537,16858,3389,13469,57347,12503,8850,157,5267,61.69943931,79.89678491,70.78301208,0.46862024
G4800850030403,2018-2022,TX,Texas,48,Collin County,085,030403,1400000US48085030403,"Census Tract 304.03, Collin County, Texas",48085030403,48085030403,3,7,19100,1,206,19124,01909,4332945,26757,304.03,33.1641934,-96.8134852,5616,5616,0,0,5616,1417,4199,36.1,33,38.6,7165,5291,664,0,248,0,454,508,4202,241,269,1586,556,7112,60,100,136279,72,0.3729,7148,1098,6050,50546,5075,3638,383,2445,100,84.63905988,71.68472906,2.249718785
G4800850030404,2018-2022,TX,Texas,48,Collin County,085,030404,1400000US48085030404,"Census Tract 304.04, Collin County, Texas",48085030404,48085030404,3,7,19100,1,206,19124,01909,2982418,1462,304.04,33.1452546,-96.7952156,5535,5535,0,0,5483,1274,4209,40.3,31.5,45.8,5695,3274,634,0,841,0,129,817,3895,18,400,1390,537,5607,259,40,144306,0,0.3165,5607,1139,4468,52932,4741,3476,309,2190,100,79.68610665,73.31786543,5.332619939
G4800850030405,2018-2022,TX,Texas,48,Collin County,085,030405,1400000US48085030405,"Census Tract 304.05, Collin County, Texas",48085030405,48085030405,3,7,19100,1,206,19124,01909,2775195,0,304.05,33.1310122,-96.7970183,4546,4546,0,0,4546,1082,3464,34.9,32.9,36.3,5382,3190,1139,16,454,0,185,398,3622,37,404,974,553,5382,612,143,70789,49,0.4453,5373,1245,4128,40562,4183,3353,173,2457,100,76.82858738,80.1577815,14.02824229
G4800850030406,2018-2022,TX,Texas,48,Collin County,085,030406,1400000US48085030406,"Census Tract 304.06, Collin County, Texas",48085030406,48085030406,3,7,19100,1,206,19124,01909,3022925,2594,304.06,33.1317872,-96.8090672,5622,5622,0,0,5563,1329,4234,31.9,27.4,36.7,5403,2972,621,20,731,0,534,525,3420,73,569,796,692,5392,115,214,73702,177,0.5029,5362,890,4472,51325,4426,3111,35,2309,100,83.40171578,70.28920018,6.101632047
G4800850030407,2018-2022,TX,Texas,48,Collin County,085,030407,1400000US48085030407,"Census Tract 304.07, Collin County, Texas",48085030407,48085030407,3,7,19100,1,206,19124,01909,3261506,0,304.07,33.1275503,-96.8340617,3868,3868,0,0,3868,1016,2852,45.1,42.8,48.8,3576,2755,189,0,399,0,0,233,2424,0,193,1187,418,3576,196,25,161417,22,0.4689,3576,728,2848,86651,2885,1691,71,1343,100,79.64205817,58.6135182,6.180089485
G4800850030409,2018-2022,TX,Texas,48,Collin County,085,030409,1400000US48085030409,"Census Tract 304.09, Collin County, Texas",48085030409,48085030409,3,7,19100,1,206,19124,01909,1475161,0,304.09,33.1421288,-96.815522,3619,3619,0,0,3612,865,2747,33.8,33.2,34.4,2847,1826,162,136,234,0,254,235,1925,114,292,502,170,2846,70,20,59816,84,0.3429,2846,359,2487,33989,2240,1735,41,1290,100,87.38580464,77.45535714,3.162333099
G4800850030410,2018-2022,TX,Texas,48,Collin County,085,030410,1400000US48085030410,"Census Tract 304.10, Collin County, Texas",48085030410,48085030410,3,7,19100,1,206,19124,01909,8308572,10535,304.1,33.1551698,-96.8283778,4349,4349,0,0,4349,866,3483,30.5,30.3,30.6,4274,2856,670,38,86,0,85,539,2904,20,269,571,709,4274,112,94,85398,217,0.3545,4274,668,3606,48615,3575,2897,66,2150,100,84.37061301,81.03496504,4.819840898
G4800850030504,2018-2022,TX,Texas,48,Collin County,085,030504,1400000US48085030504,"Census Tract 305.04, Collin County, Texas",48085030504,48085030504,3,7,19100,1,206,19124,01909,5653032,10297,305.04,33.1002754,-96.8340073,4417,4417,0,0,4343,662,3681,34.1,32.2,34.5,4116,2562,367,0,527,0,136,524,3037,50,164,1195,407,4099,126,104,82100,28,0.4677,4099,658,3441,69474,3796,2865,138,2584,100,83.94730422,75.47418335,5.611124665
G4800850030505,2018-2022,TX,Texas,48,Collin County,085,030505,1400000US48085030505,"Census Tract 305.05, Collin County, Texas",48085030505,48085030505,3,7,19100,1,206,19124,01909,5488435,18457,305.05,33.1110792,-96.8126612,5903,5903,0,0,5903,894,5009,30.7,35.1,29.1,6371,2221,677,6,2747,24,123,573,4782,51,537,1741,1540,6371,306,276,86940,109,0.4037,6371,952,5419,60205,5423,4448,246,4093,100,85.05729085,82.02102158,9.13514362
G4800850030506,2018-2022,TX,Texas,48,Collin County,085,030506,1400000US48085030506,"Census Tract 305.06, Collin County, Texas",48085030506,48085030506,3,7,19100,1,206,19124,01909,3127281,2305,305.06,33.1098901,-96.7997965,4543,4543,0,0,4543,963,3580,36.2,34.8,38.4,4916,2570,686,0,1000,0,144,516,3374,63,206,1486,703,4900,74,79,129063,53,0.299,4899,921,3978,60225,3947,3122,94,2389,100,81.20024495,79.09804915,3.12244898
G4800850030507,2018-2022,TX,Texas,48,Collin County,085,030507,1400000US48085030507,"Census Tract 305.07, Collin County, Texas",48085030507,48085030507,3,7,19100,1,206,19124,01909,1587250,13600,305.07,33.1138495,-96.7760424,1810,1810,0,0,1756,467,1289,40.1,42.7,38.7,1816,1117,56,0,295,0,9,339,1181,11,79,513,173,1803,28,42,155568,3,0.3004,1790,287,1503,57381,1332,996,55,604,100,83.96648045,74.77477478,3.882418192
G4800850030509,2018-2022,TX,Texas,48,Collin County,085,030509,1400000US48085030509,"Census Tract 305.09, Collin County, Texas",48085030509,48085030509,3,7,19100,1,206,19124,01909,1055349,0,305.09,33.1223681,-96.7920571,2507,2507,0,0,2507,687,1820,41,41.1,40.9,2846,1733,47,5,755,0,36,270,1843,0,375,722,261,2798,28,20,144500,41,0.4214,2798,561,2237,60239,2275,1450,35,1027,100,79.94996426,63.73626374,1.715511079
G4800850030510,2018-2022,TX,Texas,48,Collin County,085,030510,1400000US48085030510,"Census Tract 305.10, Collin County, Texas",48085030510,48085030510,3,7,19100,1,206,19124,01909,1391107,0,305.1,33.1341636,-96.7771601,3107,3107,0,0,3102,831,2271,38.9,38.7,39.1,3338,1528,554,73,482,0,13,688,2141,9,172,862,453,3338,118,93,151389,57,0.3283,3338,817,2521,51243,2593,1882,37,1101,100,75.52426603,72.58002314,6.321150389
G4800850030511,2018-2022,TX,Texas,48,Collin County,085,030511,1400000US48085030511,"Census Tract 305.11, Collin County, Texas",48085030511,48085030511,3,7,19100,1,206,19124,01909,11501760,18729,305.11,33.1388358,-96.7580551,14451,14451,0,0,14451,5069,9382,38.6,38,38.9,13992,4170,1097,0,7226,0,823,676,8734,389,606,3065,2706,13883,65,97,201910,63,0.3753,13992,2342,11650,70413,9942,7182,246,4173,100,83.26186392,72.23898612,1.166894763
G4800850030512,2018-2022,TX,Texas,48,Collin County,085,030512,1400000US48085030512,"Census Tract 305.12, Collin County, Texas",48085030512,48085030512,3,7,19100,1,206,19124,01909,2784620,5777,305.12,33.1291228,-96.7431833,4566,4566,0,0,4566,1513,3053,38.3,33.7,39.7,5366,3360,256,29,1324,0,41,356,3017,0,172,1430,681,5366,0,0,211435,8,0.3226,5366,860,4506,69822,4005,2912,67,1489,100,83.97316437,72.70911361,0
G4800850030515,2018-2022,TX,Texas,48,Collin County,085,030515,1400000US48085030515,"Census Tract 305.15, Collin County, Texas",48085030515,48085030515,3,7,19100,1,206,19124,01905,2276645,0,305.15,33.1667446,-96.6892086,6444,6444,0,0,6444,1860,4584,35.7,38,33.5,7567,3657,1371,38,688,9,140,1664,4583,0,333,1824,573,7567,80,43,125143,33,0.2962,7567,976,6591,44049,5752,4603,362,2360,100,87.10188979,80.02433936,1.625479054
G4800850030516,2018-2022,TX,Texas,48,Collin County,085,030516,1400000US48085030516,"Census Tract 305.16, Collin County, Texas",48085030516,48085030516,3,7,19100,1,206,19124,01905,3601725,2428,305.16,33.1614934,-96.7068845,7412,7412,0,0,7412,2469,4943,36,34.5,36.3,6762,3818,879,40,1583,0,54,388,3988,15,561,1532,809,6743,144,197,120469,152,0.3842,6762,1152,5610,48548,4648,3380,77,2242,100,82.96362023,72.71944923,5.057096248
G4800850030517,2018-2022,TX,Texas,48,Collin County,085,030517,1400000US48085030517,"Census Tract 305.17, Collin County, Texas",48085030517,48085030517,3,7,19100,1,206,19124,01905,4070289,8731,305.17,33.1629132,-96.7235583,9512,9512,0,0,9512,2986,6526,34.9,34.9,34.9,11069,6358,1234,0,2620,0,72,785,6817,41,955,2496,1356,11045,101,225,111614,74,0.3655,11069,1531,9538,48207,7794,5947,349,3746,100,86.16857891,76.30228381,2.951561793
G4800850030518,2018-2022,TX,Texas,48,Collin County,085,030518,1400000US48085030518,"Census Tract 305.18, Collin County, Texas",48085030518,48085030518,3,7,19100,1,206,19124,01909,15860140,52665,305.18,33.1573743,-96.7656563,9638,9638,0,0,9638,3788,5850,37.1,38,36.3,10167,2941,542,96,5890,0,21,677,5746,16,410,2242,2123,10159,20,218,198105,25,0.2992,10167,1181,8986,62538,6823,4893,203,2815,100,88.38398741,71.71332259,2.342750271
G4800850030519,2018-2022,TX,Texas,48,Collin County,085,030519,1400000US48085030519,"Census Tract 305.19, Collin County, Texas",48085030519,48085030519,3,7,19100,1,206,19124,01908,27297224,378062,305.19,33.2011785,-96.8097093,8888,8710,178,0,8888,2711,6177,35,34.7,35.4,8300,4384,862,0,2122,0,348,584,5273,0,406,2024,1189,8300,8,69,164141,61,0.3499,8300,826,7474,64432,5954,4722,140,3154,97.99729973,90.04819277,79.30802822,0.927710843
G4800850030520,2018-2022,TX,Texas,48,Collin County,085,030520,1400000US48085030520,"Census Tract 305.20, Collin County, Texas",48085030520,48085030520,3,7,19100,1,206,19124,01908,2783651,0,305.2,33.1821312,-96.7938174,6791,6791,0,0,6791,2289,4502,37.7,36.2,38.7,6567,2905,736,25,1862,0,65,974,4094,8,304,1652,997,6567,156,0,147880,56,0.44,6567,849,5718,60030,4694,3223,197,2223,100,87.07172225,68.66212186,2.375513933
G4800850030521,2018-2022,TX,Texas,48,Collin County,085,030521,1400000US48085030521,"Census Tract 305.21, Collin County, Texas",48085030521,48085030521,3,7,19100,1,206,19124,01908,2432039,0,305.21,33.1815199,-96.7760676,5252,5252,0,0,5249,1956,3293,34.4,37.4,28.7,5241,1749,887,29,2249,0,186,141,2922,3,205,1185,666,5241,16,13,142219,29,0.2727,5241,953,4288,44111,3762,2683,173,1428,100,81.81644724,71.31844763,0.553329517
G4800850030524,2018-2022,TX,Texas,48,Collin County,085,030524,1400000US48085030524,"Census Tract 305.24, Collin County, Texas",48085030524,48085030524,3,7,19100,1,206,19124,01908,5383825,17279,305.24,33.2110611,-96.7497408,8990,8990,0,0,8990,2978,6012,34.4,36.4,32.2,8762,4308,983,52,2183,0,243,993,5588,27,649,1999,1021,8744,239,417,126667,39,0.3775,8762,969,7793,47527,6172,4517,305,2825,100,88.94088108,73.18535321,7.502287283
G4800850030525,2018-2022,TX,Texas,48,Collin County,085,030525,1400000US48085030525,"Census Tract 305.25, Collin County, Texas",48085030525,48085030525,3,7,19100,1,206,19124,01905,3966890,156835,305.25,33.1929041,-96.7227269,5966,5966,0,0,5966,1566,4400,43.6,43.3,44.3,5390,4216,66,22,405,0,19,662,3589,0,276,1576,773,5390,0,15,146604,59,0.516,5390,816,4574,88984,4082,2585,73,1946,100,84.86085343,63.32680059,0.278293135
G4800850030529,2018-2022,TX,Texas,48,Collin County,085,030529,1400000US48085030529,"Census Tract 305.29, Collin County, Texas",48085030529,48085030529,3,7,19100,1,206,19124,01905,1701192,0,305.29,33.1812807,-96.7254664,3710,3710,0,0,3632,1082,2550,38.9,36.3,41.1,3606,2372,653,0,214,0,29,338,2266,0,253,817,285,3504,120,0,141500,0,0.3488,3504,636,2868,50209,2721,1813,48,1229,100,81.84931507,66.62991547,3.424657534
G4800850030531,2018-2022,TX,Texas,48,Collin County,085,030531,1400000US48085030531,"Census Tract 305.31, Collin County, Texas",48085030531,48085030531,3,7,19100,1,206,19124,01905,4217358,176169,305.31,33.1850242,-96.7056186,6856,6856,0,0,6797,1733,5064,40.1,39.4,41.7,7261,5712,830,0,192,0,65,462,4432,0,363,1795,696,7200,234,399,159067,47,0.3406,7248,1330,5918,54405,5398,3418,314,2566,100,81.65011038,63.31974806,8.791666667
G4800850030532,2018-2022,TX,Texas,48,Collin County,085,030532,1400000US48085030532,"Census Tract 305.32, Collin County, Texas",48085030532,48085030532,3,7,19100,1,206,19124,01909,1446444,71961,305.32,33.1192511,-96.7731573,3015,3015,0,0,3015,793,2222,42.6,44.1,41.3,2373,1734,132,0,375,0,0,132,1681,0,129,719,352,2373,48,6,133088,21,0.3001,2373,197,2176,56086,1831,1507,78,951,100,91.69827223,82.3047515,2.275600506
G4800850030533,2018-2022,TX,Texas,48,Collin County,085,030533,1400000US48085030533,"Census Tract 305.33, Collin County, Texas",48085030533,48085030533,3,7,19100,1,206,19124,01909,1435360,29183,305.33,33.125957,-96.7771832,3355,3355,0,0,3355,866,2489,41.7,42.4,41.2,3017,1898,52,0,489,0,130,448,2049,36,64,877,379,3017,85,48,158672,39,0.3113,3017,597,2420,64664,2344,1683,18,1157,100,80.21213126,71.8003413,4.408352668
G4800850030534,2018-2022,TX,Texas,48,Collin County,085,030534,1400000US48085030534,"Census Tract 305.34, Collin County, Texas",48085030534,48085030534,3,7,19100,1,206,19124,01905,1852293,50382,305.34,33.183494,-96.6911306,3173,3173,0,0,3173,784,2389,43.8,43.4,46.3,2811,2342,0,0,47,0,226,196,2084,0,127,996,327,2786,18,0,145000,0,0.2646,2811,255,2556,63994,2313,1600,53,996,100,90.9284952,69.1742326,0.646087581
G4800850030535,2018-2022,TX,Texas,48,Collin County,085,030535,1400000US48085030535,"Census Tract 305.35, Collin County, Texas",48085030535,48085030535,3,7,19100,1,206,19124,01905,1381340,11876,305.35,33.1942248,-96.6879887,2786,2786,0,0,2699,689,2010,43.6,31.4,50.1,2755,2339,0,0,65,12,40,299,1931,0,317,781,382,2736,0,125,93750,23,0.4669,2736,296,2440,51872,2094,1263,10,1224,100,89.18128655,60.31518625,4.56871345
G4800850030536,2018-2022,TX,Texas,48,Collin County,085,030536,1400000US48085030536,"Census Tract 305.36, Collin County, Texas",48085030536,48085030536,3,7,19100,1,206,19124,01909,2687242,0,305.36,33.1817847,-96.7590514,7209,7209,0,0,7209,2634,4575,35.2,30.7,37,6621,2449,646,83,2380,0,515,548,3802,24,270,1628,920,6621,32,85,184250,25,0.2896,6621,1127,5494,51255,4538,3354,196,1920,100,82.97840205,73.90921111,1.767104667
G4800850030537,2018-2022,TX,Texas,48,Collin County,085,030537,1400000US48085030537,"Census Tract 305.37, Collin County, Texas",48085030537,48085030537,3,7,19100,1,206,19124,01908,2589588,0,305.37,33.1963267,-96.7591378,7579,7579,0,0,7579,2780,4799,34.7,37.4,32,7844,3498,173,37,3180,0,84,872,4830,0,263,2114,995,7844,139,112,149510,33,0.2983,7844,1033,6811,52119,5155,4136,48,2525,100,86.83069862,80.23278371,3.199898011
G4800850030538,2018-2022,TX,Texas,48,Collin County,085,030538,1400000US48085030538,"Census Tract 305.38, Collin County, Texas",48085030538,48085030538,3,7,19100,1,206,19124,01909,2664002,0,305.38,33.1816167,-96.7415229,5584,5584,0,0,5584,1755,3829,38.6,37.5,39.7,5762,2561,841,7,1593,0,175,585,3708,28,562,891,737,5762,82,681,131207,74,0.4598,5762,1578,4184,48871,4299,2828,119,1781,100,72.61367581,65.78274017,13.24192989
G4800850030539,2018-2022,TX,Texas,48,Collin County,085,030539,1400000US48085030539,"Census Tract 305.39, Collin County, Texas",48085030539,48085030539,3,7,19100,1,206,19124,01908,2641764,0,305.39,33.1963656,-96.7417098,5448,5448,0,0,5448,1630,3818,33.4,33.7,33.2,6601,4385,825,10,822,0,92,467,3874,0,332,1338,398,6518,214,255,138217,60,0.2872,6601,1633,4968,42893,4282,3484,46,2053,100,75.26132404,81.36384867,7.19545873
G4800850030540,2018-2022,TX,Texas,48,Collin County,085,030540,1400000US48085030540,"Census Tract 305.40, Collin County, Texas",48085030540,48085030540,3,7,19100,1,206,19124,01905,953130,0,305.4,33.1554646,-96.7008258,4154,4154,0,0,4154,1038,3116,32.3,34.5,28.6,3598,1525,873,0,746,0,310,144,2136,0,219,604,262,3594,78,76,58690,141,0.3529,3594,373,3221,33496,2692,1926,0,2016,100,89.62159154,71.54531947,4.28491931
G4800850030541,2018-2022,TX,Texas,48,Collin County,085,030541,1400000US48085030541,"Census Tract 305.41, Collin County, Texas",48085030541,48085030541,3,7,19100,1,206,19124,01905,1704379,0,305.41,33.1534535,-96.6890244,4468,4468,0,0,4444,1386,3058,40.3,41,38.8,3069,2030,41,0,876,0,21,101,2280,33,219,954,540,3064,75,0,162050,24,0.3845,3064,479,2585,77669,2483,1845,0,1338,100,84.36684073,74.30527588,2.447780679
G4800850030542,2018-2022,TX,Texas,48,Collin County,085,030542,1400000US48085030542,"Census Tract 305.42, Collin County, Texas",48085030542,48085030542,3,7,19100,1,206,19124,01905,5505492,2418,305.42,33.1450035,-96.72211,8325,8325,0,0,8325,1625,6700,36.2,33.2,36.7,7403,3831,762,69,2331,0,65,345,5251,0,374,2429,799,7403,122,327,96939,0,0.3954,7403,1725,5678,62718,6481,4671,65,4050,100,76.69863569,72.07221108,6.06510874
G4800850030543,2018-2022,TX,Texas,48,Collin County,085,030543,1400000US48085030543,"Census Tract 305.43, Collin County, Texas",48085030543,48085030543,3,7,19100,1,206,19124,01905,3351896,0,305.43,33.1448515,-96.6986506,3672,3672,0,0,3672,1007,2665,38,39.9,34.1,3981,1679,525,131,1391,0,15,240,2408,0,665,709,522,3966,489,34,115920,0,0.4583,3960,541,3419,45759,2970,1913,134,1646,100,86.33838384,64.41077441,13.18709027
G4800850030544,2018-2022,TX,Texas,48,Collin County,085,030544,1400000US48085030544,"Census Tract 305.44, Collin County, Texas",48085030544,48085030544,3,7,19100,1,206,19124,01905,2587468,6013,305.44,33.1783692,-96.6684598,5510,5510,0,0,5510,1490,4020,35.5,35.4,36.1,5547,4210,304,7,651,0,22,353,3464,0,241,1444,598,5547,52,77,113229,45,0.4117,5547,1233,4314,52167,4356,3108,120,2086,100,77.77176852,71.34986226,2.325581395
G4800850030545,2018-2022,TX,Texas,48,Collin County,085,030545,1400000US48085030545,"Census Tract 305.45, Collin County, Texas",48085030545,48085030545,3,7,19100,1,206,19124,01905,2617250,125457,305.45,33.1878995,-96.6769805,3034,3034,0,0,3034,732,2302,47,42.5,48.1,2780,2432,0,0,103,0,9,236,1963,13,71,964,368,2771,11,32,157017,8,0.3859,2780,666,2114,65756,2201,1511,50,945,100,76.04316547,68.65061336,1.551786359
G4800850030546,2018-2022,TX,Texas,48,Collin County,085,030546,1400000US48085030546,"Census Tract 305.46, Collin County, Texas",48085030546,48085030546,3,7,19100,1,206,19124,01905,3435759,31111,305.46,33.2102467,-96.7217991,5611,5611,0,0,5611,1636,3975,41,40.1,43.3,5576,3649,713,0,551,0,0,663,3578,18,313,1571,697,5576,46,16,181929,56,0.3824,5576,946,4630,69334,4132,3121,196,1907,100,83.03443329,75.53242982,1.111908178
G4800850030547,2018-2022,TX,Texas,48,Collin County,085,030547,1400000US48085030547,"Census Tract 305.47, Collin County, Texas",48085030547,48085030547,3,7,19100,1,206,19124,01905,2410110,0,305.47,33.2112423,-96.7068656,5715,5715,0,0,5715,1727,3988,41,42.2,39.7,5136,3593,682,0,60,0,83,718,3412,12,306,1725,329,5136,96,14,171615,29,0.4391,5136,993,4143,75429,3910,3000,64,2087,100,80.66588785,76.72634271,2.141744548
G4800850030548,2018-2022,TX,Texas,48,Collin County,085,030548,1400000US48085030548,"Census Tract 305.48, Collin County, Texas",48085030548,48085030548,3,7,19100,1,206,19124,01905,5705739,0,305.48,33.2082847,-96.6858571,4794,4794,0,0,4776,1412,3364,37.1,36.9,37.8,6055,3819,817,200,278,0,208,733,3912,14,455,1240,776,5955,179,94,168620,42,0.2959,6055,1334,4721,49259,4454,3494,54,1821,100,77.96862097,78.44634037,4.584382872
