CTFIPS,Average of DS_PM_pred
48113001203,8.836620219
48113001204,8.840371585
48113001301,8.846751366
48113001302,8.844617486
48113001400,8.851084699
48113001502,8.835336066
48113001503,8.848860656
48113001504,8.848226776
48113001601,8.848724044
48113001602,8.851830601
48113001703,8.850693989
48113001705,8.85015847
48113001801,8.853606557
48113001802,8.848448087
48113001901,8.858027322
48113001902,8.851502732
48113002001,8.825303279
48113002002,8.830661202
48113002100,8.841803279
48113002200,8.844568306
48113002400,8.836978142
48113002500,8.83145082
48113002703,8.826491803
48113003102,8.840423497
48113003103,8.839688525
48113003700,8.819453552
48113004201,8.836685792
48113004202,8.834527322
48113004300,8.836120219
48113004400,8.835688525
48113004500,8.845598361
48113004600,8.839612022
48113004700,8.833415301
48113004800,8.820868852
48113005000,8.832289617
48113005100,8.832051913
48113005200,8.840598361
48113005300,8.837131148
48113005400,8.819915301
48113005500,8.809172131
48113005600,8.821972678
48113005700,8.809874317
48113005901,8.822879781
48113005902,8.822991803
48113006001,8.82426776
48113006002,8.82157377
48113006100,8.828579235
48113006200,8.830311475
48113006301,8.83113388
48113006302,8.832136612
48113006401,8.833748634
48113006402,8.842557377
48113006501,8.849306011
48113006502,8.845713115
48113006701,8.854420765
48113006702,8.847103825
48113006800,8.84092623
48113006900,8.842412568
48113007101,8.862196721
48113007102,8.85395082
48113007203,8.882909836
48113007204,8.886655738
48113007205,8.886120219
48113007206,8.880786885
48113007301,8.876855191
48113007302,8.872401639
48113007601,8.912800546
48113007604,8.914912568
48113007605,8.916680328
48113007701,8.894387978
48113007702,8.900346995
48113007801,8.891021858
48113007805,8.916980874
48113007809,8.883595628
48113007810,8.916885246
48113007812,8.900775956
48113007815,8.902601093
48113007819,8.895428962
48113007821,8.898412568
48113007822,8.90036612
48113007823,8.913002732
48113007824,8.897740437
48113007825,8.90873224
48113007826,8.89129235
48113007827,8.896431694
48113007828,8.931218579
48113007829,8.934497268
48113007830,8.891606557
48113007831,8.884513661
48113007832,8.889989071
48113007833,8.887584699
48113007834,8.910303279
48113007835,8.906666667
48113007902,8.869081967
48113007903,8.871336066
48113007906,8.883248634
48113007909,8.880964481
48113007910,8.870571038
48113007912,8.888060109
48113007913,8.874562842
48113007914,8.871081967
48113007915,8.878396175
48113007916,8.882628415
48113008000,8.85681694
48113008101,8.851699454
48113008102,8.845516393
48113008200,8.850336066
48113008401,8.809770492
48113008402,8.817592896
48113008500,8.80936612
48113008604,8.80584153
48113008701,8.787377049
48113008703,8.798510929
48113008704,8.80492623
48113008705,8.79152459
48113008801,8.808054645
48113008802,8.809128415
48113009001,8.795185792
48113009002,8.776581967
48113009101,8.795213115
48113009103,8.788773224
48113009104,8.78318306
48113009105,8.776420765
48113009202,8.7625
48113009203,8.767084699
48113009204,8.762289617
48113009301,8.769054645
48113009303,8.778639344
48113009304,8.764710383
48113009401,8.894245902
48113009402,8.892532787
48113009500,8.912081967
48113009603,8.940718579
48113009604,8.94907377
48113009605,8.942696721
48113009607,8.931256831
48113009608,8.945032787
48113009609,8.937830601
48113009610,8.941213115
48113009611,8.934139344
48113009701,8.920071038
48113009702,8.920587432
48113009802,8.889125683
48113009803,8.909243169
48113009804,8.900773224
48113009900,8.921601093
48113010001,8.825122951
48113010002,8.838437158
48113010003,8.823595628
48113010101,8.839969945
48113010102,8.834265027
48113010500,8.852579235
48113010601,8.862806011
48113010602,8.871357923
48113010701,8.864278689
48113010704,8.862122951
48113010804,8.834357923
48113010805,8.840295082
48113010806,8.835762295
48113010807,8.840308743
48113010808,8.855177596
48113010809,8.849210383
48113010903,8.82668306
48113010904,8.826669399
48113010905,8.816953552
48113010906,8.812122951
48113011002,8.817191257
48113011003,8.820161202
48113011004,8.828281421
48113011101,8.807784153
48113011103,8.80402459
48113011104,8.801830601
48113011105,8.791915301
48113011201,8.785797814
48113011202,8.81352459
48113011300,8.795325137
48113011401,8.780510929
